cod_entite,typ_entite,lib_entite,long_wgs84,lat_wgs84,x_centroid,y_centroid,cod_versio,dpt,id,nom,hdf_sociodemographie-hdf_sociodemographie_menrp,hdf_sociodemographie-hdf_sociodemographie_pop_mun
"6225700",QLM,CREQUY,2.050501959400000,50.498257071799998,579614.281931009958498,2611533.915089999791235,"2021","62","1",Projet,"207","485"
"6225800",QLM,CROISETTE,2.260418275300000,50.353242565099997,594523.096866699983366,2595337.257912899833173,"2021","62","1",Projet,"114","278"
"6226000",QLM,CROIX EN TERNOIS,2.280074733900000,50.382874786099997,595927.076750769861974,2598638.381130199879408,"2021","62","1",Projet,"111","322"
"6226300",QLM,DAINVILLE,2.728056198700000,50.283767931800000,627905.811598600004800,2587661.960567799862474,"2021","62","1",Projet,"2263","5646"
"6226500",QLM,DELETTES,2.215354036400000,50.625287023500000,591356.868770670029335,2625663.749717399943620,"2021","62","1",Projet,"439","1178"
"6226600",QLM,DENIER,2.443781446800000,50.287859498099998,607607.451336789992638,2588053.667026699986309,"2021","62","1",Projet,"30","86"
"6226700",QLM,DENNEBROEUCQ,2.156423929400000,50.577631233699996,587165.453213940025307,2620359.223924700170755,"2021","62","1",Projet,"145","389"
"6226900",QLM,DIEVAL,2.448608402400000,50.435201399199997,607928.809989199973643,2604474.291555199772120,"2021","62","1",Projet,"298","750"
"6227000",QLM,DIVION,2.506262328500000,50.472823602399998,612024.026044919970445,2608674.826743999961764,"2021","62","1",Projet,"2905","6978"
"6227100",QLM,DOHEM,2.176859237800000,50.632005802000002,588628.429203900042921,2626417.675938600208610,"2021","62","1",Projet,"298","828"
"6227800",QLM,DROUVIN LE MARAIS,2.628104647300000,50.494394227199997,620682.243843300035223,2611104.439879199955612,"2021","62","1",Projet,"224","594"
"6227900",QLM,DUISANS,2.697598563900000,50.305563295500001,625719.957488809945062,2590080.264794299844652,"2021","62","1",Projet,"527","1309"
"6228200",QLM,ECLIMEUX,2.179430728600000,50.397993929800002,588758.401179549982771,2600333.164374200627208,"2021","62","1",Projet,"69","176"
"6228300",QLM,ECOIVRES,2.287878248600000,50.323010455700000,596478.979702280019410,2591966.645491600036621,"2021","62","1",Projet,"45","131"
"6228600",QLM,ECQUEDECQUES,2.447453099200000,50.561336368299997,607826.850520740030333,2618533.505522300023586,"2021","62","1",Projet,"203","513"
"6229500",QLM,ENQUIN LEZ GUINEGATTE,2.288345030600000,50.593014788200001,596530.999792949995026,2622060.435182699467987,"2021","62","1",Projet,"622","1616"
"6229900",QLM,EPS,2.298487115400000,50.454341751699999,597243.100672899978235,2606602.635834599845111,"2021","62","1",Projet,"99","250"
"6230100",QLM,EQUIRRE,2.235407076500000,50.472727537399997,592756.957249530008994,2608655.881638700608164,"2021","62","1",Projet,"31","76"
"6230300",QLM,ERIN,2.209531038700000,50.438651827100003,590910.114475789945573,2604860.620336499996483,"2021","62","1",Projet,"78","234"
"6230400",QLM,ERNY SAINT JULIEN,2.255264445900000,50.584813803599999,594182.525729550048709,2621148.173620000015944,"2021","62","1",Projet,"131","325"
"6231000",QLM,ESSARS,2.661445885200000,50.548034986300003,623028.243712530005723,2617092.792406599968672,"2021","62","1",Projet,"728","1725"
"6231300",QLM,ESTREE BLANCHE,2.323627398300000,50.590267011999998,599034.714819699875079,2621753.126637400127947,"2021","62","1",Projet,"384","951"
"6231400",QLM,ESTREE CAUCHY,2.608697750000000,50.399127315999998,619339.025619709980674,2600481.590565699618310,"2021","62","1",Projet,"142","373"
"6231600",QLM,ESTREE WAMIN,2.398906080600000,50.271551185800000,604404.937745630159043,2586232.989695399999619,"2021","62","1",Projet,"74","172"
"6232000",QLM,ETRUN,2.699517032100000,50.314170300699999,625852.458774380036630,2591040.006858299952000,"2021","62","1",Projet,"132","314"
"6232200",QLM,FAMECHON,2.467232224000000,50.142067527999998,609308.619979719980620,2571811.806577799841762,"2021","62","1",Projet,"50","120"
"6232500",QLM,FAUQUEMBERGUES,2.095862608300000,50.599055671099997,582873.824743560049683,2622759.075035099871457,"2021","62","1",Projet,"414","984"
"6232700",QLM,FEBVIN PALFART,2.301449940000000,50.534440062599998,597458.000531570054591,2615530.461043300107121,"2021","62","1",Projet,"225","600"
"6232800",QLM,FERFAY,2.429608404700000,50.522611485600002,606564.797314479947090,2614215.241830300074071,"2021","62","1",Projet,"358","912"
"6233300",QLM,FIEFS,2.326359988900000,50.501858540800001,599227.277470250031911,2611898.215229399967939,"2021","62","1",Projet,"143","385"
"6233500",QLM,FILLIEVRES,2.160281867500000,50.317908006499998,587374.141320960014127,2591411.152447800152004,"2021","62","1",Projet,"244","509"
"6233600",QLM,FLECHIN,2.287116805300000,50.561984340199999,596441.634931399952620,2618601.382698100060225,"2021","62","1",Projet,"195","479"
"6233700",QLM,FLERS,2.255249080100000,50.321263095500001,594150.797000009915791,2591773.870138000231236,"2021","62","1",Projet,"90","225"
"6233900",QLM,FLEURY,2.254853806600000,50.421911625600004,594134.350293679977767,2602990.571215000003576,"2021","62","1",Projet,"45","122"
"6234000",QLM,FLORINGHEM,2.428224988900000,50.497434749200004,606469.735861250082962,2611408.818361199926585,"2021","62","1",Projet,"334","898"
