"num_bu","cod_entite_geo","typ_entite_geo","cod_version","menrp","pop_mun"
1,"6277500","QLM","2021",118,329
1,"6277600","QLM","2021",78,196
1,"6277700","QLM","2021",73,180
1,"6277800","QLM","2021",33,82
1,"6277900","QLM","2021",72,183
1,"6278000","QLM","2021",147,364
1,"6278100","QLM","2021",186,455
1,"6278200","QLM","2021",174,449
1,"6278300","QLM","2021",129,317
1,"6278400","QLM","2021",309,765
1,"6278500","QLM","2021",346,916
1,"6278600","QLM","2021",127,333
1,"6278700","QLM","2021",119,325
1,"6278800","QLM","2021",272,722
1,"6278900","QLM","2021",90,269
1,"6279000","QLM","2021",68,163
1,"6279100","QLM","2021",22,54
1,"6279200","QLM","2021",469,1148
1,"6279300","QLM","2021",394,1093
1,"6279400","QLM","2021",239,608
1,"6279500","QLM","2021",42,111
1,"6279600","QLM","2021",235,557
1,"6279700","QLM","2021",104,269
1,"6279800","QLM","2021",97,240
1,"6279900","QLM","2021",300,817
1,"6280000","QLM","2021",150,379
1,"6280100","QLM","2021",1069,2496
1,"6280200","QLM","2021",61,154
1,"6280300","QLM","2021",225,640
1,"6280400","QLM","2021",135,376
1,"6280500","QLM","2021",105,252
1,"6280600","QLM","2021",67,151
1,"6280800","QLM","2021",103,260
1,"6280900","QLM","2021",53,137
1,"6281000","QLM","2021",508,1204
1,"6281100","QLM","2021",480,1115
1,"6281200","QLM","2021",315,834
1,"6281300","QLM","2021",190,493
1,"6281400","QLM","2021",56,123
1,"6281500","QLM","2021",78,174
1,"6281600","QLM","2021",79,223
1,"6281700","QLM","2021",547,1434
1,"6281800","QLM","2021",68,159
1,"6281900","QLM","2021",465,1099
1,"6282000","QLM","2021",338,825
1,"6282100","QLM","2021",113,290
1,"6282200","QLM","2021",35,91
1,"6282300","QLM","2021",69,165
1,"6282400","QLM","2021",101,222
